round,build,mean_ms,p95,present,avm_submit,fps,frames,throttled
1,seedling,23.5,33.8,0.4,23.1,42.6,1146,False
1,seedling_before,22.4,28.4,0.4,22,44.7,1154,False
2,seedling,21.6,26.5,0.4,21.2,46.4,1156,False
2,seedling_before,22.5,26.2,0.4,22.1,44.5,1154,False
3,seedling,21.7,29.3,0.4,21.3,46.2,1158,False
3,seedling_before,21.4,24.8,0.4,21,46.7,1157,False
4,seedling,22,27.5,0.4,21.5,45.6,1157,False
4,seedling_before,22.5,30.1,0.4,22.1,44.5,1159,False
5,seedling,22.4,29.2,0.4,22,44.6,1153,False
5,seedling_before,21.4,25.7,0.4,21,46.7,1146,False
6,seedling,21.1,24.3,0.4,20.8,47.3,1160,False
6,seedling_before,23.3,28.8,0.4,22.9,43,1124,False
