round,build,mean_ms,p95,present,avm_submit,fps,frames
1,seedling,19.9,22.6,0.4,19.5,50.2,1159
1,seedling_before,21.6,24.5,0.4,21.2,46.3,1165
1,seedling_msimd,20.8,22.5,0.4,20.4,48.2,1166
1,seedling_orig,22,25,0.4,21.6,45.4,1162
2,seedling,20.3,23.2,0.4,20,49.2,1165
2,seedling_before,21.1,24.9,0.4,20.7,47.5,1164
2,seedling_msimd,21.3,24.3,0.4,20.9,47,1160
2,seedling_orig,21.6,25,0.4,21.2,46.2,1163
3,seedling,20.5,23,0.4,20.1,48.9,1167
3,seedling_before,22.7,29.2,0.4,22.3,44.1,1156
3,seedling_msimd,22.3,25.8,0.4,21.9,44.9,1160
3,seedling_orig,22.4,26,0.4,22,44.7,1148
4,seedling,21.4,25.1,0.4,21,46.7,1158
4,seedling_before,22.2,26.9,0.4,21.8,45,1160
4,seedling_msimd,22.4,28.2,0.4,21.9,44.7,1161
4,seedling_orig,21.9,25.2,0.4,21.5,45.6,1164
5,seedling,20,22.5,0.4,19.7,49.9,1164
5,seedling_before,21.5,29.7,0.4,21.1,46.6,1168
5,seedling_msimd,21.1,24.9,0.4,20.7,47.5,1165
5,seedling_orig,22.6,27,0.4,22.1,44.3,1162
