round,build,mean_ms,p95,present,avm_submit,fps,frames,throttled
1,seedling,49.7,68.5,0.8,48.8,20.1,803,False
1,seedling_before,43.9,58.2,0.8,43.2,22.8,792,False
2,seedling,40.7,56.1,0.7,40,24.6,806,False
2,seedling_before,47.1,69.9,0.7,46.3,21.2,802,False
3,seedling,37.6,50.9,0.7,36.9,26.6,846,False
3,seedling_before,39.2,52.5,0.7,38.5,25.5,830,False
4,seedling,41.8,64.2,0.8,41,23.9,813,False
4,seedling_before,41.5,66.1,0.6,40.9,24.1,815,False
5,seedling,40.5,59.6,0.7,39.8,24.7,838,False
5,seedling_before,42.3,67,0.7,41.6,23.6,774,False
6,seedling,40,57.2,0.6,39.4,25,800,False
6,seedling_before,42.7,61.6,0.7,42,23.4,787,False
