round,build,title,frame_k,cpu_k_ms,cpu_k_minus1_ms,cpu_k_plus1_ms,steady_median_ms,steady_mean_ms,frames
1,ON,seedling_original,544,8566,466,59.4,2.10,3.82,564
1,OFF,seedling_original,544,12235.5,450.1,71.4,2.10,3.94,562
2,OFF,seedling_original,544,11955.9,506.2,82.4,2.10,4.17,561
2,ON,seedling_original,544,8689,479.4,60.1,2.10,4.02,564
3,ON,seedling_original,544,8376,517.2,62.4,2.10,3.88,564
3,OFF,seedling_original,544,12410.1,603.6,80.3,2.15,3.93,562
4,OFF,seedling_original,544,12087.1,500.3,73.5,2.10,4.12,563
4,ON,seedling_original,544,9341.5,466.2,70.8,2.00,4.00,564
5,ON,seedling_original,544,8731.1,433.6,72,2.00,3.71,564
5,OFF,seedling_original,544,12357.7,462.5,76.1,2.20,4.20,563
1,ON,seedling_bot_ap_p4d,1,1023.3,371.3,41.9,22.00,22.27,49
1,OFF,seedling_bot_ap_p4d,1,1259.2,386.3,43.8,25.70,27.31,49
2,OFF,seedling_bot_ap_p4d,1,1122.1,384.3,49.1,22.70,24.23,47
2,ON,seedling_bot_ap_p4d,1,1020,388.3,45.8,21.00,20.72,49
3,ON,seedling_bot_ap_p4d,1,1075.6,408.8,48.3,29.80,29.90,50
3,OFF,seedling_bot_ap_p4d,1,1126.8,379.4,34.8,24.70,23.97,48
4,OFF,seedling_bot_ap_p4d,1,1169.6,332.5,36.7,24.90,24.17,49
4,ON,seedling_bot_ap_p4d,1,1087,370.1,45.5,21.20,23.09,49
5,ON,seedling_bot_ap_p4d,1,1068.6,385.8,35.7,22.40,22.44,49
5,OFF,seedling_bot_ap_p4d,1,1175.5,325.6,39.7,24.90,25.14,51
