method,op,category,recv_class,prop
1,get,recv_scope,,Vector
1,get,recv_scope,,uint
1,get,recv_scope,,FP
1,set,recv_classobj,,width
1,get,recv_scope,,FP
1,set,recv_classobj,,height
1,get,recv_scope,,FP
1,set,recv_classobj,,assignedFrameRate
1,get,recv_scope,,FP
1,set,recv_classobj,,fixed
1,get,recv_scope,,FP
1,set,recv_classobj,,engine
1,get,recv_scope,,FP
1,set,recv_classobj,,screen
1,get,recv_scope,,FP
1,set,recv_classobj,,bounds
1,get,recv_scope,,FP
1,set,recv_classobj,,_world
1,get,recv_scope,,FP
1,get,recv_classobj,,randomSeed
1,get,recv_scope,,FP
1,call,recv_classobj,,randomizeSeed
1,get,recv_scope,,FP
1,set,recv_classobj,,entity
1,get,recv_scope,,FP
1,call,recv_scope,,getTimer
1,set,recv_classobj,,_time
1,get,recv_scope,,Event
1,get,recv_unknown,,ADDED_TO_STAGE
1,get,method_as_prop,Engine,onStage
1,call,recv_scope,,addEventListener
3,get,recv_scope,,FP
3,get,recv_classobj,,_world
3,get,recv_unknown,,active
3,get,recv_scope,,FP
3,get,recv_classobj,,_world
3,get,recv_unknown,,_tween
3,get,recv_scope,,FP
3,get,recv_classobj,,_world
3,call,recv_unknown,,updateTweens
3,get,recv_scope,,FP
3,get,recv_classobj,,_world
3,call,recv_unknown,,update
3,get,recv_scope,,FP
3,get,recv_classobj,,_world
3,call,recv_unknown,,updateLists
3,get,recv_scope,,FP
3,get,recv_classobj,,_goto
3,call,call_method_virtual,Engine,checkWorld
4,call,recv_scope,,getTimer
4,get,slot_sealed,Engine,_frameLast
4,get,recv_scope,,FP
4,get,recv_classobj,,screen
4,call,recv_unknown,,swap
4,get,recv_scope,,Draw
4,call,recv_classobj,,resetTarget
4,get,recv_scope,,FP
4,get,recv_classobj,,screen
4,call,recv_unknown,,refresh
4,get,recv_scope,,FP
4,get,recv_classobj,,_world
4,get,recv_unknown,,visible
4,get,recv_scope,,FP
4,get,recv_classobj,,_world
4,call,recv_unknown,,render
4,get,recv_scope,,FP
4,get,recv_classobj,,screen
4,call,recv_unknown,,redraw
4,call,recv_scope,,getTimer
4,get,slot_sealed,Engine,_frameListSum
4,get,slot_sealed,Engine,_frameList
4,get,slot_sealed,Engine,_frameList
4,get,recv_unknown,,length
4,get,slot_sealed,Engine,_frameLast
4,get,slot_sealed,Engine,_frameList
4,get,recv_unknown,,length
4,get,slot_sealed,Engine,_frameListSum
4,get,slot_sealed,Engine,_frameList
4,call,recv_unknown,,shift
4,get,recv_scope,,FP
4,get,slot_sealed,Engine,_frameListSum
4,get,slot_sealed,Engine,_frameList
4,get,recv_unknown,,length
4,set,recv_classobj,,frameRate
5,get,recv_scope,,stage
5,get,recv_scope,,FP
5,get,recv_classobj,,assignedFrameRate
5,set,recv_unknown,,frameRate
5,get,recv_scope,,stage
5,get,recv_scope,,StageAlign
5,get,recv_unknown,,TOP_LEFT
5,set,recv_unknown,,align
5,get,recv_scope,,stage
5,get,recv_scope,,StageQuality
5,get,recv_unknown,,HIGH
5,set,recv_unknown,,quality
5,get,recv_scope,,stage
5,get,recv_scope,,StageScaleMode
5,get,recv_unknown,,NO_SCALE
5,set,recv_unknown,,scaleMode
5,get,recv_scope,,stage
5,get,recv_scope,,StageDisplayState
5,get,recv_unknown,,NORMAL
5,set,recv_unknown,,displayState
6,get,recv_scope,,Event
6,get,recv_unknown,,ADDED_TO_STAGE
6,get,method_as_prop,Engine,onStage
6,call,recv_scope,,removeEventListener
6,get,recv_scope,,FP
6,get,recv_scope,,stage
6,set,recv_classobj,,stage
6,call,call_method_virtual,Engine,setStageProperties
6,get,recv_scope,,Input
6,call,recv_classobj,,enable
6,get,recv_scope,,FP
6,get,recv_classobj,,_goto
6,call,call_method_virtual,Engine,checkWorld
6,call,call_method_virtual,Engine,init
6,get,recv_scope,,FP
6,get,recv_classobj,,assignedFrameRate
6,get,recv_scope,,FP
6,get,recv_classobj,,fixed
6,get,slot_sealed,Engine,_rate
6,get,slot_sealed,Engine,MAX_FRAMESKIP
6,call,recv_scope,,getTimer
6,get,slot_sealed,Engine,TICK_RATE
6,get,slot_sealed,Engine,_timer
6,get,recv_scope,,TimerEvent
6,get,recv_unknown,,TIMER
6,get,method_as_prop,Engine,onTimer
6,call,recv_unknown,,addEventListener
6,get,slot_sealed,Engine,_timer
6,call,recv_unknown,,start
6,call,recv_scope,,getTimer
6,get,recv_scope,,Event
6,get,recv_unknown,,ENTER_FRAME
6,get,method_as_prop,Engine,onEnterFrame
6,call,recv_scope,,addEventListener
7,call,recv_scope,,getTimer
7,get,recv_scope,,FP
7,get,slot_sealed,Engine,_time
7,get,slot_sealed,Engine,_flashTime
7,set,recv_classobj,,_flashTime
7,get,slot_sealed,Engine,_time
7,get,recv_scope,,FP
7,get,slot_sealed,Engine,_time
7,get,slot_sealed,Engine,_last
7,set,recv_classobj,,elapsed
7,get,recv_scope,,FP
7,get,recv_classobj,,elapsed
7,get,slot_sealed,Engine,MAX_ELAPSED
7,get,recv_scope,,FP
7,get,slot_sealed,Engine,MAX_ELAPSED
7,set,recv_classobj,,elapsed
7,get,recv_scope,,FP
7,get,recv_scope,,FP
7,get,recv_classobj,,elapsed
7,get,recv_scope,,FP
7,get,recv_classobj,,rate
7,set,recv_classobj,,elapsed
7,get,slot_sealed,Engine,_time
7,get,recv_scope,,FP
7,get,recv_classobj,,_console
7,get,recv_scope,,FP
7,get,recv_classobj,,_console
7,call,recv_unknown,,update
7,get,slot_sealed,Engine,paused
7,call,call_method_virtual,Engine,update
7,get,recv_scope,,Input
7,call,recv_classobj,,update
7,call,recv_scope,,getTimer
7,get,recv_scope,,FP
7,get,slot_sealed,Engine,_time
7,get,slot_sealed,Engine,_updateTime
7,set,recv_classobj,,_updateTime
7,get,slot_sealed,Engine,paused
7,call,call_method_virtual,Engine,render
7,call,recv_scope,,getTimer
7,get,recv_scope,,FP
7,get,slot_sealed,Engine,_time
7,get,slot_sealed,Engine,_renderTime
7,set,recv_classobj,,_renderTime
7,get,recv_scope,,FP
7,get,slot_sealed,Engine,_time
7,get,slot_sealed,Engine,_gameTime
7,set,recv_classobj,,_gameTime
8,call,recv_scope,,getTimer
8,get,slot_sealed,Engine,_delta
8,get,slot_sealed,Engine,_time
8,get,slot_sealed,Engine,_last
8,get,slot_sealed,Engine,_time
8,get,slot_sealed,Engine,_delta
8,get,slot_sealed,Engine,_rate
8,get,slot_sealed,Engine,_time
8,get,recv_scope,,FP
8,get,slot_sealed,Engine,_time
8,get,slot_sealed,Engine,_flashTime
8,set,recv_classobj,,_flashTime
8,get,recv_scope,,FP
8,get,recv_classobj,,_console
8,get,recv_scope,,FP
8,get,recv_classobj,,_console
8,call,recv_unknown,,update
8,get,slot_sealed,Engine,_delta
8,get,slot_sealed,Engine,_skip
8,get,slot_sealed,Engine,_skip
8,get,slot_sealed,Engine,_time
8,get,slot_sealed,Engine,_delta
8,get,slot_sealed,Engine,_rate
